INSTNM,UGDS,REGION,LOCALE,CCSIZSET,ADM_RATE,TUITFTE
University of Puerto Rico-Mayaguez,12060,9,13,15,0.6351,851
St John's University-New York,11907,2,11,16,0.7306,20529
University of Colorado Denver/Anschutz Medical Campus,11892,7,11,15,0.6363,14528
University of Southern Mississippi,11834,5,13,16,0.9788,6573
Loyola University Chicago,11727,3,11,16,0.6792,24717
Kean University,11679,2,21,15,0.8598,9302
Minnesota State University-Mankato,11675,4,13,15,0.6092,6988
Cleveland State University,11603,3,11,15,0.8834,10167
CUNY Lehman College,11559,2,11,12,0.3967,3823
University of Puerto Rico-Rio Piedras,11503,9,11,15,0.4267,1133
Savannah College of Art and Design,11363,5,12,16,0.7027,26656
Tarleton State University,11312,6,33,16,0.5507,6594
North Dakota State University-Main Campus,11182,4,12,16,0.9253,10016
University of Maryland-Baltimore County,11156,2,21,16,0.5794,9864
Wichita State University,11148,4,11,15,0.965,8655
New Mexico State University-Main Campus,11139,6,22,15,0.6566,4639
University of Wisconsin-Whitewater,11045,3,32,16,0.7578,6986
Ferris State University,11008,3,32,16,0.809,10838
Southeastern Louisiana University,10994,5,13,15,0.8963,6384
University of Miami,10873,5,21,16,0.3215,30749
Southern Illinois University-Edwardsville,10786,3,21,16,0.8744,8683
University of Pennsylvania,10764,2,11,17,0.0841,40773
East Tennessee State University,10760,5,13,16,0.8713,8802
University of Wisconsin-Oshkosh,10749,3,13,16,0.7084,5558
University of Vermont,10612,1,13,17,0.6756,24913
Central Washington University,10529,8,32,15,0.7816,5949
University of Wisconsin-Eau Claire,10485,3,13,16,0.7796,7144
University of Alaska Anchorage,10482,8,11,15,0.8115,7253
University of Colorado Colorado Springs,10475,7,11,15,0.9118,10806
Stephen F Austin State University,10474,6,33,16,0.6765,7420
University of West Georgia,10448,5,31,16,0.5819,6794
Eastern Washington University,10379,8,31,16,0.6342,7217
Indiana State University,10348,3,13,16,0.8991,5681
North Carolina A & T State University,10299,5,11,16,0.6143,6512
Embry-Riddle Aeronautical University-Worldwide,10254,5,13,12,0.6343,11328
National University College,10203,9,21,12,0.5745,5403
Northern Kentucky University,10201,5,21,15,0.8926,8855
The University of Tennessee-Chattanooga,10152,5,12,16,0.7562,6279
Wright State University-Main Campus,10140,3,21,16,0.9490000000000001,10588
University of South Alabama,10035,5,12,16,0.7931,9364
Youngstown State University,10030,3,13,15,0.6877,7355
University of North Dakota,9910,4,13,16,0.8221,11379
University of Wyoming,9854,7,33,16,0.9603,6084
Western Carolina University,9835,5,32,13,0.3966,6205
Texas A & M University-Corpus Christi,9672,6,11,16,0.8699,7698
Boston College,9639,1,13,17,0.2789,34327
College of Charleston,9622,5,12,13,0.7926,14090
University of Wisconsin-La Crosse,9517,3,13,13,0.7065,7092
Coastal Carolina University,9474,5,13,13,0.6955,13122
Southern Illinois University-Carbondale,9447,3,13,16,0.7185,9401
Texas Christian University,9407,6,11,16,0.4073,27807
Farmingdale State College,9394,2,21,12,0.4607,5144
Fordham University,9392,2,11,16,0.4602,28317
University of Northern Iowa,9391,4,13,17,0.8074,6485
The University of West Florida,9371,5,13,12,0.4242,5850
Texas Woman's University,9336,6,12,15,0.868,5965
Central Connecticut State University,9325,1,21,13,0.6724,9228
South Dakota State University,9314,4,33,16,0.9243,8550
Bridgewater State University,9312,1,21,13,0.9014,9901
California State University-Stanislaus,9272,8,23,12,0.8582,4680
California State University-Bakersfield,9142,8,11,12,0.2302,3321
University of Minnesota-Duluth,9108,4,13,16,0.7432,8827
Indiana University of Pennsylvania-Main Campus,9069,2,32,16,0.93,9792
Austin Peay State University,9064,5,12,12,0.9378,5870
Post University,9017,1,22,12,0.5301,11267
Saint Cloud State University,8983,4,13,15,0.862,5668
University of Central Arkansas,8906,5,13,13,0.9109999999999999,5495
University of Northern Colorado,8903,7,12,16,0.9075,10249
University of Maine,8861,1,23,13,0.9234,11226
Tennessee Technological University,8805,5,33,12,0.7576,5699
Rutgers University-Newark,8761,2,11,16,0.6274,18723
Arizona State University-Downtown Phoenix,8697,6,11,15,0.8062,12487
William Paterson University of New Jersey,8643,2,21,13,0.9333,9620
Sonoma State University,8642,8,21,13,0.8965,5615
Arkansas State University-Main Campus,8623,5,13,13,0.7721,4037
Lamar University,8623,6,12,13,0.8432,6816
Stockton University,8569,2,22,13,0.8437,8880
University of Notre Dame,8568,3,21,17,0.1771,24901
Prairie View A & M University,8524,6,32,14,0.7434,5412
University of Dayton,8508,3,12,17,0.7154,18873
Saint Leo University,8484,5,23,15,0.6026,11346
Northwestern University,8451,3,13,16,0.0847,30915
Pace University,8439,2,11,16,0.7587,21158
The University of Tampa,8422,5,11,14,0.4869,18371
Valdosta State University,8404,5,13,13,0.626,6176
Colorado Mesa University,8384,7,13,13,0.8072,8494
Southeast Missouri State University,8379,4,13,13,0.8293,5876
Baker College,8319,3,21,12,0.5307,9932
Northwestern State University of Louisiana,8265,5,33,12,0.8198,6171
Purdue University Northwest,8244,3,21,12,0.3108,7388
Columbia University in the City of New York,8216,2,11,17,0.0591,38622
Texas A & M University-Commerce,8201,6,32,13,0.3437,7044
Marquette University,8200,3,11,17,0.8166,22395
Louisiana Tech University,8192,5,32,16,0.6307,7696
The University of Montana,8173,7,13,13,0.882,8774
University of Wisconsin-Stevens Point,8161,3,32,13,0.8329,6226
University of Central Missouri,8113,4,32,13,0.8597,6708
Pennsylvania State University-World Campus,8102,2,41,12,0.5426,5311
Marshall University,8086,5,13,16,0.9062,7213
SUNY Buffalo State,7944,2,11,13,0.6052,4221
Fashion Institute of Technology,7938,2,11,13,0.5267,8569
Bloomsburg University of Pennsylvania,7920,2,13,13,0.7678,9003
Tulane University of Louisiana,7920,5,11,17,0.1733,28290
Arkansas Tech University,7896,5,33,13,0.9024,4725
Southern Connecticut State University,7890,1,12,13,0.6623,9814
University of California-Merced,7881,8,41,13,0.6617,9399
Radford University,7880,5,13,13,0.7458,6826
New Jersey Institute of Technology,7820,2,11,13,0.6366,14578
California Baptist University,7811,8,11,13,0.7955,18673
University of Wisconsin-Platteville,7786,3,32,13,0.8236,6653
Florida Agricultural and Mechanical University,7711,5,12,13,0.3886,4600
University of Missouri-Kansas City,7681,4,11,15,0.5648,12016
Texas Southern University,7604,6,11,12,0.5663,8588
Harvard University,7582,1,12,17,0.0473,33767
University of Idaho,7528,7,41,13,0.7725,9330
American University,7485,2,11,17,0.3154,31310
University of Alabama in Huntsville,7458,5,12,12,0.8087,8677
University of Wisconsin-Stout,7445,3,32,13,0.9011,6316
Salisbury University,7444,2,23,13,0.6217,7258
Slippery Rock University of Pennsylvania,7436,2,32,13,0.7317,8186
Saginaw Valley State University,7431,3,22,13,0.7739,9238
Quinnipiac University,7371,1,21,14,0.7247,28477
University of Southern Indiana,7369,3,22,13,0.9458,5639
West Texas A & M University,7368,6,31,13,0.6488,7066
Washington University in St Louis,7356,4,21,17,0.1503,26447
Kutztown University of Pennsylvania,7335,2,31,14,0.831,8513
Humboldt State University,7300,8,33,13,0.7679,4192
Southern Utah University,7293,7,33,12,0.7918,6714
The New School,7274,2,11,13,0.5673,30944
Purdue University Fort Wayne,7270,3,11,12,0.9661,6651
University of Missouri-St Louis,7136,4,21,12,0.7255,8797
CUNY York College,7126,2,11,12,0.5276,3108
California State University-Channel Islands,7105,8,22,12,0.7834,4677
Georgetown University,7089,2,11,17,0.1452,37738
Stanford University,7083,8,21,17,0.0436,24872
Winona State University,7052,4,32,13,0.6572,6072
SUNY College at Oswego,7039,2,32,14,0.5362,5339
Chapman University,7026,8,12,13,0.5356,30672
SUNY College at Brockport,7015,2,31,13,0.5331,5231
Emory University,6975,5,11,17,0.1852,27038
