Name,Reopening Plan,Unnamed: 2
California State University-Dominguez Hills,Primarily online,
Indian River State College,Hybrid,
Community College of Philadelphia,Fully online,
Duke University,Hybrid,
Florida SouthWestern State CollegeLee County? FL,Hybrid,
Fordham University,Hybrid,
Tulsa Community College,Primarily online,
Rochester Institute of Technology,Primarily in person,
University of Missouri at St. Louis,Primarily online,
University of Wisconsin at Oshkosh,Primarily online,
University of Missouri at Kansas City,Primarily online,
Metropolitan Community College (Mo.),Primarily in person,
Northwest Vista College,Primarily online,
Los Angeles Valley College,Fully online,
University of Massachusetts at Boston,Fully online,
Western Washington University,Primarily online,
Community College of Allegheny County,Primarily online,
Central Texas College,Primarily online,
Cleveland State University,Primarily online,
City College of City University of New York,Primarily online,
California State University at San Marcos,Primarily online,
San Diego Miramar College,Primarily online,
Washington University in St. Louis,Primarily online,
Eastern Florida State College,Primarily online,
Eastern Kentucky University,Primarily in person,
Cypress College,Fully online,
Wichita State University,Primarily online,
Mt. San Jacinto College,Primarily online,
California State University-East Bay,Primarily online,
Fort Hays State University,Hybrid,
Texas Woman's University,Primarily in person,
University of Nebraska at Omaha,Primarily in person,
Oakland Community College,Hybrid,
City University of New York Queensborough Community College,Fully online,
City University of New York John Jay College of Criminal Justice,Primarily online,
University of Central Oklahoma,Primarily in person,
University of New Hampshire,Primarily online,
Milwaukee Area Technical College,Primarily online,
Madison Area Technical College,Hybrid,
Long Island University-C.WNassau County? NY,Primarily in person,
San Diego City College,Primarily online,
City University of New York Kingsborough Community College,Primarily online,
Florida Gulf Coast University,Primarily in person,
Wayne County Community College District,Primarily online,
Metropolitan Community College (Neb.),Primarily online,
University of South Alabama,Primarily online,
City University of New York Herbert H. Lehman College,Primarily online,
Wilmington University (Del.),Fully online,
Lamar University,Primarily in person,
Northern Kentucky University,Hybrid,
Foothill College,Primarily online,
Chandler-Gilbert Community College,Primarily online,
Joliet Junior College,Primarily online,
Boston College,Primarily in person,
Santa Barbara City College,Primarily online,
University of Alaska at Anchorage,Primarily online,
Community College of Rhode Island,Primarily online,
University of Southern Mississippi,Primarily online,
Pennsylvania State University-World Campus,Fully online,
Emory UniversityDeKalb County? GA,Primarily online,
Saint Louis University,Primarily in person,
Wright State University,Primarily online,
Minnesota State University at Mankato,Hybrid,
Moorpark College,Primarily online,
Santa Fe College,Hybrid,
East Tennessee State University,Primarily online,
American University,Fully online,
Southeastern Louisiana University,Hybrid,
New Mexico State University at Las Cruces,Hybrid,
University of Houston-Downtown,Primarily online,
Delgado Community College,Primarily online,
Antelope Valley College,Primarily online,
College of Lake County,Primarily online,
Cosumnes River College,Primarily online,
Embry-Riddle Aeronautical University-Extended Campus,Fully in person,
Savannah College of Art and Design,Fully online,
Kean University,Primarily online,
Carnegie Mellon University,Primarily online,
Eastern Gateway Community College,Primarily online,
St. Cloud State University,Primarily online,
Los Angeles City College,Fully online,
Kirkwood Community College,Hybrid,
Delaware Technical Community College Terry Campus,Primarily online,
Glendale Community College (Calif.),Fully online,
University of North Dakota,Hybrid,
San Bernardino Valley College,Primarily online,
Chabot College,Primarily online,
North Dakota State University,Hybrid,
Grand Rapids Community College,Primarily online,
University of Maryland-Baltimore County,Primarily online,
Moraine Valley Community College,Primarily online,
Daytona State College,Primarily online,
University of West Georgia,Primarily in person,
Brookhaven College,Primarily online,
MiraCosta Community College DistrictSan Diego County? CA,Primarily online,
Arkansas State University at Jonesboro,Primarily in person,
Harper College,Primarily online,
University of the Cumberlands,Hybrid,
Rutgers University at Newark,Primarily online,
University of Northern Colorado,Hybrid,
Yale University,Primarily online,
University of Vermont,Hybrid,
Los Angeles Trade-Technical College,Fully online,
Bergen Community College,Primarily online,
Pace University,Primarily online,
Ventura College,Fully online,
Southern Illinois University at Edwardsville,Primarily online,
Ferris State University,Primarily in person,
City University of New York College of Staten Island,Primarily online,
Bellevue College,Fully online,
Pikes Peak Community College,Primarily online,
Marshall University,Primarily online,
Stephen F. Austin State University,Hybrid,
Citrus College,Fully online,
University of Colorado at Colorado Springs,Hybrid,
Tarleton State University,Primarily in person,
University of Wisconsin at Whitewater,Primarily online,
Irvine Valley College,Fully online,
Indiana State University,Primarily in person,
Anne Arundel Community College,Fully online,
University of West Florida,Hybrid,
Vanderbilt University,Other,
Southern Illinois University at Carbondale,Primarily online,
Tulane University,Primarily in person,
Eastern Washington University,Primarily online,
Youngstown State University,Primarily online,
University of Notre Dame,Primarily in person,
College of the Sequoias,Primarily online,
Bunker Hill Community College,Fully online,
Hinds Community College,Hybrid,
Hartnell College,Primarily online,
Georgia Gwinnett College,Hybrid,
University of Wyoming,Primarily in person,
Texas State Technical CollegeMcLennan County? TX,Primarily online,
Texas A&M University at Commerce,Primarily in person,
Idaho State University,Primarily in person,
Central Washington University,Primarily in person,
Monroe Community College,Primarily online,
Washtenaw Community College,Fully online,
Victor Valley College,Fully online,
Ozarks Technical Community College,Primarily in person,
Henry Ford College,Primarily online,
Trident Technical College,Hybrid,
North Carolina A&T State University,Primarily in person,
South Dakota State University,Hybrid,
Arkansas Tech University,Primarily in person,
Columbia College (Mo.),Primarily in person,
Oklahoma City Community College,Primarily online,
University of Denver,Primarily online,
Texas A&M University at Corpus Christi,Primarily in person,
Tallahassee Community College,Hybrid,
Louisiana Tech University,Primarily in person,
Case Western Reserve University,Primarily online,
Prince George's Community College,Primarily online,
Del Mar College,Primarily online,
Brookdale Community College,Primarily online,
University of Idaho,Primarily in person,
Central Connecticut State University,Primarily online,
University of Rochester,Hybrid,
Saint Leo University,Hybrid,
Touro College (N.YNew York County? NY,Primarily online,
Lansing Community College,Primarily online,
West Los Angeles College,Fully online,
El Centro College,Primarily online,
Fox Valley Technical College,Undetermined,
Jefferson Community and Technical College,Hybrid,
Stark State College,Primarily online,
Southern Methodist University,Hybrid,
Western Carolina University,Hybrid,
University of Tennessee at Chattanooga,Primarily in person,
Golden West College,Primarily online,
Mountain View College,Fully online,
Marquette University,Hybrid,
University of Wisconsin at Eau Claire,Primarily in person,
St. Philip's College,Primarily online,
Tufts University,Hybrid,
Arizona State University-Downtown Phoenix,Hybrid,
Massachusetts Institute of Technology,Primarily online,
Arapahoe Community College,Hybrid,
Westchester Community College,Primarily online,
Fayetteville Technical Community College,Primarily online,
Pasco-Hernando Community College,Primarily online,
North Lake College,Fully online,
Northeast Wisconsin Technical College,Primarily online,
University of Central Missouri,Primarily in person,
Indiana University of Pennsylvania,Hybrid,
Campbellsville University,Primarily online,
New Jersey Institute of Technology,Hybrid,
Park University,Primarily online,
College of the Desert,Fully online,
Webster University,Primarily in person,
University of Maine at Orono,Hybrid,
Santiago Canyon College,Primarily online,
Cabrillo College,Primarily online,
Delaware County Community College,Primarily online,
Allan Hancock College,Primarily online,
University of Dayton,Primarily online,
Valdosta State University,Primarily in person,
Reedley College,Primarily online,
University of Northern Iowa,Primarily in person,
University of Central Arkansas,Primarily online,
Northwestern State University,Primarily in person,
Southeast Missouri State University,Primarily in person,
Villanova University,Primarily in person,
University of Minnesota at Duluth,Primarily online,
Cuesta College,Primarily online,
Merced College,Primarily online,
Bridgewater State University,Primarily online,
University of Southern Indiana,Hybrid,
Coastline Community College,Primarily online,
University of Montana at Missoula,Primarily online,
Phoenix College,Primarily online,
Austin Peay State University,Hybrid,
Thomas Edison State University,Fully in person,
Texas Christian University,Hybrid,
Hudson Valley Community College,Primarily online,
Middlesex County College,Primarily online,
Pellissippi State Community College,Primarily online,
Norco College,Primarily online,
Butte College,Primarily online,
Hofstra University,Primarily in person,
Greenville Technical College,Primarily in person,
Truckee Meadows Community College,Primarily online,
California State University at Bakersfield,Primarily online,
College of Charleston,Primarily online,
University of San Francisco,Fully online,
Lorain County Community College,Primarily online,
Coastal Carolina University,Primarily online,
Indiana Wesleyan University-National and Global,Fully online,
University of Wisconsin at La Crosse,Primarily online,
Polk State College,Primarily online,
California State University-Stanislaus,Primarily online,
New School,Fully online,
Triton College,Primarily online,
Erie Community College City Campus,Primarily online,
North Central Texas College,Primarily online,
Guilford Technical Community College,Primarily in person,
City University of New York Bronx Community College,Hybrid,
University of Arkansas at Little Rock,Hybrid,
California Baptist University,Primarily online,
Chattahoochee Technical College,Primarily in person,
Purdue University Northwest,Hybrid,
Montgomery County Community College,Primarily online,
State University of New York Empire State College,Primarily online,
Laney College,Primarily online,
Angelo State University,Hybrid,
Spokane Community College,Primarily in person,
College of Western Idaho,Primarily in person,
Brown University,Primarily online,
State College of Florida Manatee-Sarasota,Hybrid,
Quinnipiac University,Primarily in person,
University of Texas at Tyler,Hybrid,
William Paterson University of New Jersey,Primarily in person,
Southern Utah University,Primarily online,
Morehead State University,Hybrid,
Tennessee Technological University,Primarily in person,
Laredo College,Undetermined,
Seton Hall University,Hybrid,
Chemeketa Community College,Primarily online,
John Tyler Community College,Primarily online,
Purdue University Fort Wayne,Hybrid,
Tyler Junior College,Hybrid,
Independence University,Fully online,
Azusa Pacific University,Fully online,
Moreno Valley College,Primarily online,
University of South Dakota,Primarily in person,
Southern Connecticut State University,Primarily online,
University of St. Thomas (Minn,Hybrid,
West Texas A&M University,Primarily in person,
Florida A&M University,Hybrid,
Estrella Mountain Community College,Primarily online,
State University of New York at Farmingdale,Hybrid,
Dixie State University,Primarily in person,
Schoolcraft College,Hybrid,
Midlands Technical College,Primarily in person,
Regent University,Primarily in person,
Los Angeles Mission College,Fully online,
Clark College,Primarily online,
Amarillo College,Hybrid,
Palo Alto College,Primarily online,
Loyola Marymount University,Primarily online,
Onondaga Community College,Hybrid,
Normandale Community College,Primarily online,
City Colleges of Chicago Wilbur Wright College,Primarily online,
Pensacola State College,Primarily online,
Northampton Community College,Primarily in person,
Los Medanos College,Primarily online,
University of Alabama at Huntsville,Hybrid,
Calhoun Community College,Primarily online,
Texas Southern University,Hybrid,
Camden County College,Primarily online,
Bellevue University,Fully in person,
Stockton University,Hybrid,
Chapman University,Primarily online,
Evergreen Valley College,Fully online,
Elgin Community College,Primarily online,
Bluegrass Community and Technical College,Primarily online,
Prairie View A&M University,Primarily in person,
Colorado Mesa University,Primarily in person,
Lindenwood University,Hybrid,
Owens Community College,Hybrid,
University of Michigan at Dearborn,Primarily online,
Sonoma State University,Primarily online,
Murray State University,Primarily in person,
Union County College,Primarily in person,
Solano Community College,Primarily online,
Southwest Tennessee Community College,Primarily online,
Radford University,Primarily in person,
University of Tampa,Primarily in person,
Baker College of Flint,Primarily online,
South Plains College,Primarily in person,
University of Louisiana at Monroe,Primarily online,
Duquesne University,Hybrid,
San Jose City College,Fully online,
Southeast Community College (Neb.),Hybrid,
Howard Community College,Primarily online,
Waubonsee Community College,Primarily online,
Volunteer State Community College,Primarily online,
Howard University,Fully online,
Maryville University of Saint Louis,Hybrid,
Gwinnett Technical College,Hybrid,
Buffalo State College,Primarily online,
Shasta College,Hybrid,
University of Wisconsin at Stevens Point,Primarily online,
Jefferson State Community College,Primarily online,
University of San Diego,Primarily online,
Mercy College,Hybrid,
